tf9791,treya,feldstein,1,may 11 1992,1,140,7,2,4,8
am5524,antonin,murga,2,october 20 1998,88,35,6,1,1,6
jl7014,jaelyn,lule,1,july 29 1993,46,130,20,2,1,4
le6920,lydian,erisman,1,july 5 1988,52,18,10,2,4,4
bm9749,baldomero,marvel,2,june 30 1990,89,5,4,1,4,4
el7634,exodus,lappe,2,october 22 1987,20,1,9,2,4,7
rv7691,reid,vandenberg,1,october 11 1989,112,4,19,2,3,5
dp3767,delilah,perezcruz,1,november 23 1988,66,4,3,1,1,7
gc2142,gianno,callihan,2,february 5 1985,10,12,20,2,3,8
mv3817,mouctar,vigeant,2,march 22 1985,31,20,9,1,2,2
cj5995,cambridge,jungers,1,march 27 1985,66,92,5,1,3,4
cb9579,chrissy,brodbeck,1,january 18 1987,52,145,5,2,1,3
ks8827,kalem,stlouis,2,june 1 1992,11,141,5,1,2,2
ns5093,norie,spurling,1,december 8 1986,53,5,6,1,2,7
jp8557,jiho,pressnell,2,october 11 1988,23,117,16,1,4,3
ic6794,icarus,costantino,2,july 6 1998,38,51,1,2,4,5
ea2362,ellianne,anna,1,may 21 1997,110,145,13,1,4,4
eb5255,eisla,bousman,1,april 16 1994,45,125,15,1,2,4
an2360,arcangel,nevills,2,september 23 1990,98,41,18,2,1,8
va5205,vallentina,artman,1,march 1 1990,60,10,4,2,2,6
pg5187,praise,gilder,1,june 22 1985,11,121,1,1,4,6
nt3830,novalee,tash,1,march 18 1985,1,143,12,1,1,8
zs6875,zavior,shunk,2,october 23 1989,66,84,4,2,2,2
dk9495,dallyn,knebel,2,april 9 1992,109,64,12,2,2,7
zm7773,zora,moses,1,january 18 1986,57,101,6,2,2,6
nb3160,najib,baten,2,may 4 1988,113,76,5,1,2,8
aa3635,adena,adragna,1,december 29 1986,42,53,14,2,3,7
bt8360,brayner,tull,2,october 24 1998,73,102,9,2,2,2
gq1857,giada,qu,1,december 3 1994,22,71,19,2,2,3
dm1994,deshawn,matheson,2,october 2 1998,62,134,20,1,3,2
ks7766,kyere,solley,2,september 26 1991,106,78,17,1,3,1
cj4826,cova,jenkins,1,september 22 1987,86,55,3,1,3,3
ss7796,sameya,selk,1,february 17 1995,5,133,11,1,2,7
rb5821,riyaz,burd,2,april 1 1991,96,53,8,1,4,8
jl8034,jehu,lagreca,2,september 19 1989,40,76,18,1,2,7
os7312,odera,stasko,2,december 5 1985,112,118,19,2,3,8
ev9375,eston,vanderford,2,january 18 1985,101,89,19,2,4,4
kh6525,keerat,hashem,1,december 10 1990,32,63,6,1,4,4
bc6408,bryton,chaffee,2,september 17 1991,72,17,14,1,2,6
am4516,alon,mahony,2,january 5 1996,33,6,17,1,4,3
ll4733,lonzo,langan,2,september 13 1993,31,58,1,2,2,8
lc3973,leif,chapdelaine,2,march 12 1986,85,109,9,2,2,1
mk6202,mohammed,keech,2,january 8 1997,63,60,11,1,2,3
em6342,eilidh,malmgren,1,march 6 1995,30,108,5,2,2,8
mv5713,milarose,villasenor,1,july 13 1990,114,34,7,1,4,8
cr3435,carlie,rivas,1,october 23 1986,12,22,1,1,3,3
et8468,elley,tretter,1,march 16 1991,5,117,9,1,2,4
kd3981,kamiera,didomenico,1,february 23 1997,10,74,5,2,1,1
nc6544,nada,chumbley,1,march 19 1998,102,22,5,1,4,7
lo3607,lihan,ormsby,2,may 2 1985,101,68,7,1,3,5
ss8206,shakiya,schoon,1,august 19 1997,4,64,12,2,3,1
vl2872,virgilio,lucus,2,february 19 1997,37,26,5,1,2,6
rt2369,radwa,thorp,1,october 17 1986,35,118,8,2,3,1
am1972,aemon,myler,2,july 4 1985,47,111,4,2,4,4
ed8025,elizabethgrace,dandridge,1,december 17 1998,63,138,10,1,2,7
sv1580,sharla,vanderlaan,1,march 23 1985,81,58,12,1,3,7
lh1684,loujain,hampton,1,february 19 1991,120,127,15,2,4,7
sk3475,siddarth,kirk,2,june 5 1991,108,36,4,2,3,3
tz6647,tayvien,zubiate,2,march 19 1996,101,143,16,2,4,8
yr3940,yuvansh,rhodes,2,september 27 1986,87,60,10,1,2,5
sd8565,suki,defoe,1,november 13 1985,102,116,19,1,1,8
sl5113,saylem,lamantia,1,june 28 1996,118,89,5,1,3,3
to1764,tatumn,oxley,1,january 6 1999,91,94,16,2,2,6
za5138,zemora,allers,1,november 19 1992,2,88,5,1,2,8
as6087,adea,silguero,1,august 5 1997,44,80,8,1,1,7
tm8970,theseus,markert,2,april 8 1987,107,54,9,2,2,4
em4452,ezeriah,mcfaul,2,july 22 1985,24,136,19,1,2,8
jf5481,jenae,frigo,1,april 25 1996,6,28,9,1,1,5
ct6118,chapel,trinkle,1,october 23 1987,65,128,1,1,3,1
bf5858,blayklee,fortson,1,april 25 1994,82,133,9,1,3,6
kh2178,keyani,hawker,1,january 5 1998,68,144,16,2,2,5
ke9809,kazlynn,echeverri,1,november 17 1994,10,115,8,2,4,4
rb5445,ruxin,battersby,2,august 15 1990,5,22,1,2,4,1
