am5524,antonin,murga,m,october 20 1998,poland,dark_slate_blue,cantaloupe,mac,/bin/bash,insert,bf10b324e7b2338e0ac4246ad0fd4b51  -
bm9749,baldomero,marvel,m,june 30 1990,portugal,azure,blackberries,mac,/bin/tcsh,drop,892a714931203ba5e46e2e1f1ef4cc54  -
el7634,exodus,lappe,m,october 22 1987,burundi,alice_blue,lemons,windows,/bin/tcsh,select,67eb68df6577148f863af0bc3625ee1a  -
gc2142,gianno,callihan,m,february 5 1985,bangladesh,brown,watermelon,windows,/bin/ksh,update,90a4ffadd081f487012cfdf28fc877da  -
mv3817,mouctar,vigeant,m,march 22 1985,cyprus,crimson,lemons,mac,/bin/csh,create,2e6d26e794ffc9d52d02e11c39e7f665  -
ks8827,kalem,stlouis,m,june 1 1992,barbados,wheat,blueberries,mac,/bin/csh,create,d376fb20a9268890a5baa19dc89d9c20  -
jp8557,jiho,pressnell,m,october 11 1988,chad,royal_blue,pineapple,mac,/bin/tcsh,delete,c284b54ba4d204c332892f55b2305a26  -
ic6794,icarus,costantino,m,july 6 1998,el_salvador,gray,apples,windows,/bin/tcsh,execute,e5b67590fdcb635fcfb3e650f418113c  -
an2360,arcangel,nevills,m,september 23 1990,serbia,dim_gray,raspberries,windows,/bin/bash,update,d651664101ff9e50fc9f5ee5770ecd12  -
zs6875,zavior,shunk,m,october 23 1989,kenya,medium_orchid,blackberries,windows,/bin/csh,create,69a1019d17a90f3d8861ffa2ed448413  -
dk9495,dallyn,knebel,m,april 9 1992,the_gambia,light_blue,nectarines,windows,/bin/csh,select,aca1cd7062aee9663c42bc7ccfe8f6e2  -
nb3160,najib,baten,m,may 4 1988,uganda,light_yellow,blueberries,mac,/bin/csh,update,40e7e15941db5d01511c862c553c759a  -
bt8360,brayner,tull,m,october 24 1998,malaysia,orchid,lemons,windows,/bin/csh,create,ba30760612a1de280dd97e3d43ff2d18  -
dm1994,deshawn,matheson,m,october 2 1998,ivory_coast,tomato,watermelon,mac,/bin/ksh,create,72715ebd8646915a0e5eb4ec9b027290  -
ks7766,kyere,solley,m,september 26 1991,switzerland,lime_green,plums,mac,/bin/ksh,all,51f09555638283eae16e347c779317ee  -
rb5821,riyaz,burd,m,april 1 1991,san_marino,green_yellow,grapes,mac,/bin/tcsh,update,a47945e7446129c3523ff7ce91c10885  -
jl8034,jehu,lagreca,m,september 19 1989,estonia,light_yellow,raspberries,mac,/bin/csh,select,72ab514cc1e7b488df7b86a84dec6797  -
os7312,odera,stasko,m,december 5 1985,turkey,saddle_brown,strawberries,windows,/bin/ksh,update,7807026b280e561ba632634e980ad7ae  -
ev9375,eston,vanderford,m,january 18 1985,slovenia,medium_turquoise,strawberries,windows,/bin/tcsh,drop,5eb34df55784eda4bfb8da5fdd02a0eb  -
bc6408,bryton,chaffee,m,september 17 1991,luxembourg,coral,peaches,mac,/bin/csh,insert,0b716ba86f8162ff056677b6adb219ba  -
am4516,alon,mahony,m,january 5 1996,denmark,beige,plums,mac,/bin/tcsh,delete,91c9e197c3e8a011df73a89c15f50b07  -
ll4733,lonzo,langan,m,september 13 1993,cyprus,ivory,apples,windows,/bin/csh,update,b364d60913e701d494e176f912f59412  -
lc3973,leif,chapdelaine,m,march 12 1986,pakistan,peru,lemons,windows,/bin/csh,all,7b85304a95811c68b541c3f9bd03ec6e  -
mk6202,mohammed,keech,m,january 8 1997,jamaica,lavender,mangoes,mac,/bin/csh,delete,f428618e8dd1bcebe96676ba872ac89e  -
lo3607,lihan,ormsby,m,may 2 1985,slovenia,light_gray,cherries,mac,/bin/ksh,execute,32b28717156d7b26b2306c79cf225842  -
vl2872,virgilio,lucus,m,february 19 1997,egypt,dark_green,blueberries,mac,/bin/csh,insert,7bbf731b649252d7de95dace913dbdac  -
am1972,aemon,myler,m,july 4 1985,ghana,plum,blackberries,windows,/bin/tcsh,drop,500cba1ecbcd353806145de21a634ba3  -
sk3475,siddarth,kirk,m,june 5 1991,thailand,dark_slate_gray,blackberries,windows,/bin/ksh,delete,4a7590a04287f3bd1a747238c4b59413  -
tz6647,tayvien,zubiate,m,march 19 1996,slovenia,white_smoke,pineapple,windows,/bin/tcsh,update,60ed3242a8005b37722d252f2017977a  -
yr3940,yuvansh,rhodes,m,september 27 1986,philippines,lavender,limes,mac,/bin/csh,execute,9e57204d80c2524f98cd820009d78ca7  -
tm8970,theseus,markert,m,april 8 1987,tanzania,honeydew,lemons,windows,/bin/csh,drop,171255d37021dff63d836edb721c9faa  -
em4452,ezeriah,mcfaul,m,july 22 1985,chile,violet,strawberries,mac,/bin/csh,update,e791f45829a58ff1212cac4c93c98363  -
rb5445,ruxin,battersby,m,august 15 1990,australia,dark_blue,apples,windows,/bin/tcsh,all,e7de27d113637a1e2fde6127669d2dab  -
