tf9791,treya,feldstein,f,may 11 1992,albania,web_purple,cherries,windows,/bin/tcsh,update
jl7014,jaelyn,lule,f,july 29 1993,germany,steel_blue,watermelon,windows,/bin/bash,drop
le6920,lydian,erisman,f,july 5 1988,guyana,cornflower_blue,limes,windows,/bin/tcsh,drop
rv7691,reid,vandenberg,f,october 11 1989,turkey,aquamarine,strawberries,windows,/bin/ksh,execute
dp3767,delilah,perezcruz,f,november 23 1988,kenya,aquamarine,bananas,mac,/bin/bash,select
cj5995,cambridge,jungers,f,march 27 1985,kenya,mint_cream,blueberries,mac,/bin/ksh,drop
cb9579,chrissy,brodbeck,f,january 18 1987,guyana,yellow_green,blueberries,windows,/bin/bash,delete
ns5093,norie,spurling,f,december 8 1986,hong_kong,azure,cantaloupe,mac,/bin/csh,select
ea2362,ellianne,anna,f,may 21 1997,trinidad_and_tobago,yellow_green,oranges,mac,/bin/tcsh,drop
eb5255,eisla,bousman,f,april 16 1994,georgia,sky_blue,pears,mac,/bin/csh,drop
va5205,vallentina,artman,f,march 1 1990,israel,blue,blackberries,windows,/bin/csh,insert
pg5187,praise,gilder,f,june 22 1985,barbados,sea_green,apples,mac,/bin/tcsh,insert
nt3830,novalee,tash,f,march 18 1985,albania,white_smoke,nectarines,mac,/bin/bash,update
zm7773,zora,moses,f,january 18 1986,indonesia,orange_red,cantaloupe,windows,/bin/csh,insert
aa3635,adena,adragna,f,december 29 1986,fiji,green_yellow,peaches,windows,/bin/ksh,select
gq1857,giada,qu,f,december 3 1994,cayman_islands,light_salmon,strawberries,windows,/bin/csh,delete
cj4826,cova,jenkins,f,september 22 1987,peru,hot_pink,bananas,mac,/bin/ksh,delete
ss7796,sameya,selk,f,february 17 1995,australia,thistle,mangoes,mac,/bin/csh,select
kh6525,keerat,hashem,f,december 10 1990,czech_republic,lemon_chiffon,cantaloupe,mac,/bin/tcsh,drop
em6342,eilidh,malmgren,f,march 6 1995,cuba,peach_puff,blueberries,windows,/bin/csh,update
mv5713,milarose,villasenor,f,july 13 1990,ukraine,dark_sea_green,cherries,mac,/bin/tcsh,update
cr3435,carlie,rivas,f,october 23 1986,belarus,dark_blue,apples,mac,/bin/ksh,delete
et8468,elley,tretter,f,march 16 1991,australia,royal_blue,lemons,mac,/bin/csh,drop
kd3981,kamiera,didomenico,f,february 23 1997,bangladesh,light_slate_gray,blueberries,windows,/bin/bash,all
nc6544,nada,chumbley,f,march 19 1998,south_africa,dark_blue,blueberries,mac,/bin/tcsh,select
ss8206,shakiya,schoon,f,august 19 1997,argentina,light_blue,nectarines,windows,/bin/ksh,all
rt2369,radwa,thorp,f,october 17 1986,dominican_republic,saddle_brown,grapes,windows,/bin/ksh,all
ed8025,elizabethgrace,dandridge,f,december 17 1998,jamaica,web_green,limes,mac,/bin/csh,select
sv1580,sharla,vanderlaan,f,march 23 1985,niger,ivory,nectarines,mac,/bin/ksh,select
lh1684,loujain,hampton,f,february 19 1991,zambia,slate_gray,pears,windows,/bin/tcsh,select
sd8565,suki,defoe,f,november 13 1985,south_africa,rosy_brown,strawberries,mac,/bin/bash,update
sl5113,saylem,lamantia,f,june 28 1996,venezuela,medium_turquoise,blueberries,mac,/bin/ksh,delete
to1764,tatumn,oxley,f,january 6 1999,qatar,moccasin,pineapple,windows,/bin/csh,insert
za5138,zemora,allers,f,november 19 1992,algeria,medium_spring_green,blueberries,mac,/bin/csh,update
as6087,adea,silguero,f,august 5 1997,france,magenta,grapes,mac,/bin/bash,select
jf5481,jenae,frigo,f,april 25 1996,austria,dark_magenta,lemons,mac,/bin/bash,execute
ct6118,chapel,trinkle,f,october 23 1987,kazakhstan,snow,apples,mac,/bin/ksh,all
bf5858,blayklee,fortson,f,april 25 1994,nigeria,thistle,lemons,mac,/bin/ksh,insert
kh2178,keyani,hawker,f,january 5 1998,latvia,yellow,pineapple,windows,/bin/csh,execute
ke9809,kazlynn,echeverri,f,november 17 1994,bangladesh,red,grapes,windows,/bin/tcsh,drop
ms7182,meleana,si,f,september 29 1998,cayman_islands,dark_goldenrod,nectarines,windows,/bin/tcsh,update
jg3898,jossie,guarneri,f,march 7 1994,namibia,turquoise,grapes,windows,/bin/ksh,execute
kl3594,kaisleigh,lies,f,october 12 1992,liberia,medium_purple,oranges,mac,/bin/tcsh,select
hh6197,halsey,hinton,f,march 13 1998,the_gambia,slate_gray,mangoes,windows,/bin/csh,drop
ss9474,shreenika,steppe,f,may 21 1992,iceland,dark_orchid,cherries,mac,/bin/csh,update
mh7503,malini,hanney,f,march 18 1995,ghana,navy_blue,cantaloupe,windows,/bin/ksh,all
ll8602,liliann,lapierre,f,june 25 1990,grenada,hot_pink,watermelon,windows,/bin/bash,drop
tb7808,tahirah,betty,f,september 2 1994,india,gainsboro,peaches,mac,/bin/tcsh,all
vb5546,verity,beaver,f,july 14 1988,australia,orange,watermelon,windows,/bin/tcsh,select
fr7797,forrest,regalado,f,december 14 1986,djibouti,goldenrod,bananas,mac,/bin/csh,delete
ms4068,makda,schrupp,f,september 9 1999,india,dark_cyan,apples,mac,/bin/bash,insert
js9661,jaxon,schrom,f,february 26 1993,ukraine,misty_rose,apples,windows,/bin/ksh,delete
af4119,alesandra,faraci,f,august 11 1992,uganda,lavender,mangoes,windows,/bin/tcsh,insert
dl4957,dawson,letts,f,april 6 1990,guatemala,teal,lemons,mac,/bin/tcsh,insert
hf5732,hadlie,fockler,f,october 30 1990,cyprus,medium_turquoise,plums,windows,/bin/tcsh,select
jl7685,jhenae,lutes,f,december 17 1989,united_states,medium_violet_red,mangoes,mac,/bin/bash,insert
yn1604,yuritzi,nina,f,december 24 1994,eritrea,lime,plums,mac,/bin/bash,create
ss7780,saralynn,sowden,f,october 3 1988,uganda,light_goldenrod,grapes,windows,/bin/ksh,all
jt1679,jadah,teasdale,f,april 21 1994,bosnia_and_herzegovina,gray,blueberries,mac,/bin/ksh,update
ki6369,kisha,ing,f,october 3 1990,ecuador,orchid,pears,windows,/bin/tcsh,create
tm4557,tauriel,mack,f,april 8 1999,france,aquamarine,strawberries,windows,/bin/tcsh,all
aa7682,aubrii,albarracin,f,september 29 1989,mexico,navy_blue,oranges,mac,/bin/csh,all
tm2962,teylie,mccord,f,april 3 1999,sweden,tomato,nectarines,windows,/bin/tcsh,update
ir8210,ilaya,rideaux,f,september 17 1994,lithuania,teal,blackberries,mac,/bin/bash,insert
ms2774,mariafernanda,sinegal,f,march 18 1994,ghana,thistle,grapes,windows,/bin/tcsh,execute
rl2723,ruweyda,landry,f,april 5 1989,luxembourg,pale_green,pineapple,mac,/bin/bash,delete
md1531,marlee,downen,f,august 21 1985,israel,rebecca_purple,blueberries,mac,/bin/csh,insert
mm4410,masina,mullin,f,november 7 1997,uganda,salmon,blueberries,windows,/bin/ksh,create
sk3136,sidney,kornacki,f,april 25 1996,mongolia,web_purple,oranges,windows,/bin/csh,insert
